datetime,moisture_pct,temp_c,mounted_rssi,calculated_rssi
2025-06-06 11:31:13+00:00,335,33.81,-66.0,-84.0229704049734
2025-06-06 11:31:13+00:00,332,33.63,-66.0,-84.02623895993013
2025-06-06 11:32:13+00:00,332,33.94,-64.0,-82.02065373232341
2025-06-06 11:32:13+00:00,327,33.75,-64.0,-82.02405210324075
2025-06-06 11:33:13+00:00,332,34.06,-66.0,-84.01854828553653
2025-06-06 11:33:13+00:00,327,33.94,-66.0,-84.02065373232341
2025-06-06 11:34:14+00:00,332,34.13,-65.0,-83.01733484712742
2025-06-06 11:34:14+00:00,327,33.94,-65.0,-83.02065373232341
2025-06-06 11:35:14+00:00,331,34.31,-65.0,-83.01426483600558
2025-06-06 11:35:14+00:00,328,34.13,-65.0,-83.01733484712742
2025-06-06 11:36:14+00:00,334,34.38,-66.0,-84.01309061934226
2025-06-06 11:36:14+00:00,329,34.25,-66.0,-84.01528009950312
2025-06-06 11:37:14+00:00,335,34.19,-64.0,-82.0163034466769
2025-06-06 11:37:14+00:00,330,34.0,-64.0,-82.01959703044116
2025-06-06 11:38:14+00:00,324,33.88,-63.0,-81.02171836076297
2025-06-06 11:38:14+00:00,327,34.06,-63.0,-81.01854828553653
2025-06-06 11:39:14+00:00,328,33.81,-63.0,-81.0229704049734
2025-06-06 11:39:14+00:00,332,34.06,-63.0,-81.01854828553653
2025-06-06 11:40:14+00:00,324,33.94,-63.0,-81.02065373232341
2025-06-06 11:40:14+00:00,330,34.13,-63.0,-81.01733484712742
2025-06-06 11:41:15+00:00,325,34.0,-63.0,-81.01959703044116
2025-06-06 11:41:15+00:00,330,34.19,-63.0,-81.0163034466769
2025-06-06 11:42:15+00:00,335,34.25,-64.0,-82.01528009950312
2025-06-06 11:42:15+00:00,330,34.06,-64.0,-82.01854828553653
2025-06-06 11:43:15+00:00,332,34.38,-62.0,-80.01309061934226
2025-06-06 11:43:15+00:00,328,34.19,-62.0,-80.0163034466769
2025-06-06 11:44:15+00:00,332,34.5,-63.0,-81.01110351003715
2025-06-06 11:44:15+00:00,328,34.31,-63.0,-81.01426483600558
2025-06-06 11:45:15+00:00,332,34.63,-63.0,-81.00898787618945
2025-06-06 11:45:15+00:00,328,34.44,-63.0,-81.01209297473753
2025-06-06 11:46:15+00:00,328,34.56,-63.0,-81.01012225561662
2025-06-06 11:46:15+00:00,331,34.75,-63.0,-81.00706946000327
2025-06-06 11:47:16+00:00,337,34.88,-65.0,-83.00502881467618
2025-06-06 11:47:16+00:00,335,34.63,-65.0,-83.00898787618945
2025-06-06 11:48:16+00:00,326,34.81,-65.0,-83.00612274189797
2025-06-06 11:48:16+00:00,331,35.0,-65.0,-83.00318014547122
2025-06-06 11:49:16+00:00,331,35.06,-65.0,-83.00226849042969
2025-06-06 11:49:16+00:00,328,34.88,-65.0,-83.00502881467618
2025-06-06 11:50:16+00:00,331,34.56,-65.0,-83.01012225561662
2025-06-06 11:50:16+00:00,335,34.75,-65.0,-83.00706946000327
2025-06-06 11:51:16+00:00,326,34.81,-64.0,-82.00612274189797
2025-06-06 11:51:16+00:00,322,34.63,-64.0,-82.00898787618945
2025-06-06 11:52:16+00:00,329,35.06,-63.0,-81.00226849042969
2025-06-06 11:52:16+00:00,325,34.88,-63.0,-81.00502881467618
2025-06-06 11:53:17+00:00,335,35.19,-64.0,-82.00032241553619
2025-06-06 11:53:17+00:00,331,35.0,-64.0,-82.00318014547122
2025-06-06 11:54:17+00:00,325,35.25,-63.0,-80.99943776037708
2025-06-06 11:54:17+00:00,330,35.44,-63.0,-80.9966931626635
2025-06-06 11:55:17+00:00,321,35.44,-63.0,-80.9966931626635
2025-06-06 11:55:17+00:00,326,35.63,-63.0,-80.99403565832411
2025-06-06 11:56:17+00:00,327,35.69,-64.0,-81.99321469461896
2025-06-06 11:56:17+00:00,331,35.81,-64.0,-81.99159923094376
2025-06-06 11:57:17+00:00,324,36.0,-64.0,-81.98911408385837
2025-06-06 11:57:17+00:00,321,35.88,-64.0,-81.9906732494098
2025-06-06 11:58:17+00:00,327,36.0,-64.0,-81.98911408385837
2025-06-06 11:58:17+00:00,331,36.19,-64.0,-81.98671885694276
2025-06-06 11:59:18+00:00,331,36.0,-63.0,-80.98911408385837
2025-06-06 11:59:18+00:00,335,36.19,-63.0,-80.98671885694276
2025-06-06 12:00:18+00:00,327,36.19,-63.0,-80.98671885694276
2025-06-06 12:00:18+00:00,331,36.38,-63.0,-80.98441450713042
2025-06-06 12:32:23+00:00,327,39.5,-63.0,-80.96040777991557
2025-06-06 12:32:23+00:00,325,39.06,-63.0,-80.9621362453298
2025-06-06 12:33:23+00:00,328,39.5,-64.0,-81.96040777991557
2025-06-06 12:33:23+00:00,324,39.06,-64.0,-81.9621362453298
2025-06-06 12:34:23+00:00,328,38.94,-65.0,-82.96270599443545
2025-06-06 12:34:23+00:00,330,39.44,-65.0,-82.96060985412271
2025-06-06 12:35:23+00:00,326,39.56,-65.0,-82.96021640533253
2025-06-06 12:35:23+00:00,324,39.13,-65.0,-82.96182324560095
2025-06-06 12:36:24+00:00,329,39.75,-64.0,-81.95968130416188
2025-06-06 12:36:24+00:00,328,39.25,-64.0,-81.96132001245252
2025-06-06 12:37:24+00:00,329,39.81,-64.0,-81.95953482435519
2025-06-06 12:37:24+00:00,329,39.38,-64.0,-81.96082259882367
2025-06-06 12:38:24+00:00,328,39.5,-62.0,-79.96040777991557
2025-06-06 12:38:24+00:00,330,39.94,-62.0,-79.95925471071455
2025-06-06 12:39:24+00:00,324,40.06,-63.0,-80.95904160622528
2025-06-06 12:39:24+00:00,322,39.56,-63.0,-80.96021640533253
2025-06-06 12:40:24+00:00,330,40.13,-63.0,-80.9589375450162
2025-06-06 12:40:24+00:00,329,39.69,-63.0,-80.95983860470255
2025-06-06 12:41:24+00:00,330,40.25,-65.0,-82.95879402562855
2025-06-06 12:41:24+00:00,329,39.75,-65.0,-82.95968130416188
2025-06-06 12:42:25+00:00,329,40.38,-64.0,-81.95868848434608
2025-06-06 12:42:25+00:00,328,39.88,-64.0,-81.95937764614197
2025-06-06 12:43:25+00:00,328,40.0,-64.0,-81.9591426877694
2025-06-06 12:43:25+00:00,330,40.5,-64.0,-81.95863740463813
2025-06-06 12:44:25+00:00,330,40.19,-62.0,-79.95886026892182
2025-06-06 12:44:25+00:00,330,40.63,-62.0,-79.95863254675402
2025-06-06 12:45:25+00:00,333,40.75,-62.0,-79.95867490339941
2025-06-06 12:45:25+00:00,331,40.31,-62.0,-79.95873884394307
2025-06-06 12:46:25+00:00,329,40.44,-62.0,-79.95865736816899
2025-06-06 12:46:25+00:00,331,40.88,-62.0,-79.95877180640517
2025-06-06 12:47:25+00:00,327,41.0,-64.0,-81.95890859190888
2025-06-06 12:47:25+00:00,326,40.56,-64.0,-81.95862862244388
2025-06-06 12:48:25+00:00,333,41.13,-62.0,-79.95910832869963
2025-06-06 12:48:25+00:00,333,40.69,-62.0,-79.9586480890767
2025-06-06 12:49:26+00:00,328,41.25,-65.0,-82.95934053124948
2025-06-06 12:49:26+00:00,328,40.81,-65.0,-82.95871301829193
2025-06-06 12:50:26+00:00,328,41.25,-64.0,-81.95934053124948
