Date,Depth,Set Number
2025-03-06,6,1
Date (Year-Mon-Day),Time (Hour-Min-Sec),Soil Moisture Value,Soil Moisture (%),Soil Temperature (°C)
2025-03-06,22-18-16,245,99,9.75
2025-03-06,22-18-17,245,99,9.75
2025-03-06,22-18-18,245,99,9.75
2025-03-06,22-18-19,238,100,9.81
2025-03-06,22-18-20,238,100,9.81
2025-03-06,22-18-21,246,99,9.81
2025-03-06,22-18-22,246,99,9.81
2025-03-06,22-18-23,243,99,9.81
2025-03-06,22-18-24,243,99,9.81
2025-03-06,22-18-25,241,100,9.81
2025-03-06,22-18-26,241,100,9.81
2025-03-06,22-18-27,245,99,9.81
2025-03-06,22-18-28,245,99,9.81
2025-03-06,22-18-29,242,100,9.81
2025-03-06,22-18-30,242,100,9.81
2025-03-06,22-18-31,242,100,9.75
2025-03-06,22-18-32,242,100,9.75
2025-03-06,22-18-33,242,100,9.81
2025-03-06,22-18-34,242,100,9.81
2025-03-06,22-18-35,242,100,9.75
2025-03-06,22-18-36,242,100,9.75
2025-03-06,22-18-37,241,100,9.75
2025-03-06,22-18-38,241,100,9.75
2025-03-06,22-18-39,243,99,9.81
2025-03-06,22-18-40,243,99,9.81
2025-03-06,22-18-41,241,100,9.75
2025-03-06,22-18-42,241,100,9.75
2025-03-06,22-18-43,245,99,9.75
2025-03-06,22-18-44,245,99,9.75
2025-03-06,22-18-46,238,100,9.75
2025-03-06,22-18-47,238,100,9.75
2025-03-06,22-18-48,247,99,9.81
2025-03-06,22-18-49,247,99,9.81
2025-03-06,22-18-50,238,100,9.75
2025-03-06,22-18-51,238,100,9.75
2025-03-06,22-18-52,245,99,9.75
2025-03-06,22-18-53,245,99,9.75
2025-03-06,22-18-54,241,100,9.75
2025-03-06,22-18-55,241,100,9.75
2025-03-06,22-18-56,241,100,9.75
2025-03-06,22-18-57,241,100,9.75
2025-03-06,22-18-58,242,100,9.75
2025-03-06,22-18-59,242,100,9.75
2025-03-06,22-19-00,242,100,9.75
2025-03-06,22-19-01,242,100,9.75
2025-03-06,22-19-02,244,99,9.75
2025-03-06,22-19-03,244,99,9.75
2025-03-06,22-19-04,242,100,9.75
2025-03-06,22-19-05,242,100,9.75
2025-03-06,22-19-06,242,100,9.75
2025-03-06,22-19-07,242,100,9.75
2025-03-06,22-19-08,242,100,9.75
2025-03-06,22-19-09,242,100,9.75
2025-03-06,22-19-10,243,99,9.81
2025-03-06,22-19-11,243,99,9.81
2025-03-06,22-19-12,239,100,9.75
2025-03-06,22-19-13,239,100,9.75
2025-03-06,22-19-14,244,99,9.75
2025-03-06,22-19-15,244,99,9.75
2025-03-06,22-19-16,237,100,9.75
2025-03-06,22-19-17,237,100,9.75
2025-03-06,22-19-18,248,99,9.75
2025-03-06,22-19-19,248,99,9.75
2025-03-06,22-19-20,239,100,9.81
2025-03-06,22-19-21,239,100,9.81
2025-03-06,22-19-22,242,100,9.75
2025-03-06,22-19-23,242,100,9.75
2025-03-06,22-19-24,244,99,9.75
2025-03-06,22-19-25,244,99,9.75
2025-03-06,22-19-26,241,100,9.75
2025-03-06,22-19-27,241,100,9.75
2025-03-06,22-19-28,243,99,9.81
2025-03-06,22-19-29,243,99,9.81
2025-03-06,22-19-30,241,100,9.75
2025-03-06,22-19-31,241,100,9.75
2025-03-06,22-19-32,243,99,9.75
2025-03-06,22-19-33,243,99,9.75
2025-03-06,22-19-34,240,100,9.75
2025-03-06,22-19-35,240,100,9.75
2025-03-06,22-19-36,245,99,9.75
2025-03-06,22-19-37,245,99,9.75
2025-03-06,22-19-38,238,100,9.75
2025-03-06,22-19-39,238,100,9.75
2025-03-06,22-19-40,245,99,9.75
2025-03-06,22-19-41,245,99,9.75
2025-03-06,22-19-42,239,100,9.81
2025-03-06,22-19-43,239,100,9.81
2025-03-06,22-19-44,250,98,9.75
2025-03-06,22-19-45,250,98,9.75
2025-03-06,22-19-46,242,100,9.75
2025-03-06,22-19-47,242,100,9.75
2025-03-06,22-19-48,242,100,9.75
2025-03-06,22-19-49,242,100,9.75
2025-03-06,22-19-50,243,99,9.75
2025-03-06,22-19-51,243,99,9.75
2025-03-06,22-19-52,242,100,9.75
2025-03-06,22-19-53,242,100,9.75
2025-03-06,22-19-54,243,99,9.75
2025-03-06,22-19-55,243,99,9.75
2025-03-06,22-19-56,242,100,9.75
2025-03-06,22-19-57,242,100,9.75
2025-03-06,22-19-58,244,99,9.75
2025-03-06,22-19-59,244,99,9.75
2025-03-06,22-20-00,241,100,9.75
2025-03-06,22-20-01,241,100,9.75
2025-03-06,22-20-02,243,99,9.75
2025-03-06,22-20-03,243,99,9.75
2025-03-06,22-20-04,241,100,9.75
2025-03-06,22-20-05,241,100,9.75
2025-03-06,22-20-06,244,99,9.75
2025-03-06,22-20-07,244,99,9.75
2025-03-06,22-20-08,239,100,9.75
2025-03-06,22-20-09,239,100,9.75
2025-03-06,22-20-10,249,99,9.75
2025-03-06,22-20-11,249,99,9.75
2025-03-06,22-20-12,244,99,9.75
2025-03-06,22-20-13,244,99,9.75
2025-03-06,22-20-14,244,99,9.75
2025-03-06,22-20-15,244,99,9.75
2025-03-06,22-20-16,244,99,9.75
2025-03-06,22-20-17,244,99,9.75
2025-03-06,22-20-18,241,100,9.75
2025-03-06,22-20-19,241,100,9.75
2025-03-06,22-20-20,246,99,9.75
2025-03-06,22-20-21,246,99,9.75
2025-03-06,22-20-22,237,100,9.75
2025-03-06,22-20-23,237,100,9.75
2025-03-06,22-20-24,247,99,9.75
2025-03-06,22-20-25,247,99,9.75
2025-03-06,22-20-26,242,100,9.75
2025-03-06,22-20-27,242,100,9.75
