CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio1,192.168.1.254,192.168.1.22,60,15,100,150,dirt,0.5,None, None
Date (Year-Mon-Day),Time (Hour-Min-Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,URSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-07,02-57-59,17,5.0,2.0,6.0,29.0,26-08:36:45,69,-80.5,-107.5,-80.5,-107.0,26.5,MCS 0 shortGI,MCS 10,33.0,0-12:30:36,0-00:07:09,7.3,-90.0,-94.0,-89.0,-96.0,7.0,MCS 10,2221,MCS 0 short GI,281,0
2025-03-07,02-58-09,17,5.0,2.0,6.0,29.0,26-08:36:57,70,-81.0,-108.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:30:45,0-00:07:20,7.3,-91.0,-93.0,-89.0,-96.0,7.0,MCS 10,2325,MCS 0 short GI,310,0
2025-03-07,02-58-20,17,5.0,2.0,6.0,29.0,26-08:37:05,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:30:54,0-00:07:28,7.3,-90.0,-91.0,-88.0,-96.0,8.0,MCS 10,2394,MCS 0 short GI,333,0
2025-03-07,02-58-30,17,5.0,2.0,6.0,29.0,26-08:37:17,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:31:06,0-00:07:40,7.3,-90.0,-93.0,-88.0,-96.0,8.0,MCS 10,2468,MCS 0 short GI,361,0
2025-03-07,02-58-40,17,5.0,2.0,6.0,29.0,26-08:37:28,70,-80.0,-106.0,-80.0,-107.0,27.0,MCS 0 shortGI,MCS 10,33.0,0-12:31:15,0-00:07:52,7.3,-90.0,-91.0,-88.0,-96.0,8.0,MCS 10,2572,MCS 0 short GI,387,0
2025-03-07,02-58-51,17,5.0,2.0,6.0,29.0,26-08:37:36,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:31:27,0-00:07:59,7.3,-90.0,-95.0,-88.0,-97.0,9.0,MCS 10,2634,MCS 0 short GI,407,0
2025-03-07,02-59-01,17,5.0,2.0,6.0,29.0,26-08:37:47,70,-80.0,-107.0,-80.0,-107.0,27.0,MCS 0 shortGI,MCS 10,33.0,0-12:31:36,0-00:08:11,7.3,-90.0,-92.0,-88.0,-96.0,8.0,MCS 10,2713,MCS 0 short GI,435,0
2025-03-07,02-59-11,17,5.0,2.0,6.0,29.0,26-08:37:59,70,-81.0,-108.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:31:48,0-00:08:23,7.3,-92.0,-91.0,-88.0,-96.0,8.0,MCS 10,2822,MCS 0 short GI,465,0
2025-03-07,02-59-22,17,5.0,2.0,6.0,29.0,26-08:38:07,70,-80.0,-110.0,-80.0,-107.0,27.0,MCS 0 shortGI,MCS 10,33.0,0-12:31:57,0-00:08:31,7.3,-91.0,-92.0,-88.0,-96.0,8.0,MCS 10,2882,MCS 0 short GI,483,0
2025-03-07,02-59-32,17,5.0,2.0,6.0,29.0,26-08:38:19,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:32:09,0-00:08:43,7.3,-91.0,-90.0,-88.0,-96.0,8.0,MCS 10,2958,MCS 0 short GI,511,0
2025-03-07,02-59-43,17,5.0,2.0,6.0,29.0,26-08:38:31,69,-80.0,-109.0,-80.0,-107.0,27.0,MCS 0 shortGI,MCS 10,33.0,0-12:32:18,0-00:08:54,7.3,-89.0,-91.0,-87.0,-96.0,9.0,MCS 10,3061,MCS 0 short GI,539,0
2025-03-07,02-59-53,17,5.0,2.0,6.0,29.0,26-08:38:38,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:32:30,0-00:09:01,7.3,-92.0,-94.0,-90.0,-96.0,6.0,MCS 10,3127,MCS 0 short GI,561,0
2025-03-07,03-00-03,17,5.0,2.0,6.0,29.0,26-08:38:50,70,-81.0,-108.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:32:39,0-00:09:13,7.3,-90.0,-90.0,-87.0,-96.0,9.0,MCS 10,3204,MCS 0 short GI,589,0
2025-03-07,03-00-14,17,5.0,2.0,6.0,29.0,26-08:39:01,70,-81.0,-103.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:32:48,0-00:09:25,7.3,-91.0,-93.0,-89.0,-96.0,7.0,MCS 10,3313,MCS 0 short GI,618,0
2025-03-07,03-00-24,17,5.0,2.0,6.0,29.0,26-08:39:10,69,-81.0,-107.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:33:00,0-00:09:33,7.3,-89.0,-91.0,-87.0,-97.0,10.0,MCS 10,3374,MCS 0 short GI,635,0
2025-03-07,03-00-35,17,5.0,2.0,6.0,29.0,26-08:39:20,70,-80.0,-107.0,-80.0,-107.0,27.0,MCS 0 shortGI,MCS 10,33.0,0-12:33:09,0-00:09:44,7.3,-91.0,-93.0,-89.0,-96.0,7.0,MCS 10,3446,MCS 0 short GI,663,0
2025-03-07,03-00-45,17,5.0,2.0,6.0,29.0,26-08:39:32,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:33:22,0-00:09:56,7.3,-90.0,-92.0,-88.0,-97.0,9.0,MCS 10,3550,MCS 0 short GI,693,0
2025-03-07,03-00-55,17,5.0,2.0,6.0,28.0,26-08:39:44,70,-80.0,-108.0,-80.0,-107.0,27.0,MCS 0 shortGI,MCS 10,33.0,0-12:33:30,0-00:10:07,7.3,-90.0,-93.0,-89.0,-98.0,9.0,MCS 10,3648,MCS 0 short GI,724,0
