Date,Depth,Set Number
2025-03-06,6,2
Date (Mon/Day/Year),Time (Hour:Min:Sec),Soil Moisture Value,Soil Moisture (%),Soil Temperature (°C)
2025-03-06,17-39-44,340,87,20.56
2025-03-06,17-39-45,340,87,20.56
2025-03-06,17-39-46,344,86,20.62
2025-03-06,17-39-47,344,86,20.62
2025-03-06,17-39-48,344,86,20.56
2025-03-06,17-39-49,344,86,20.56
2025-03-06,17-39-50,341,87,20.62
2025-03-06,17-39-51,341,87,20.62
2025-03-06,17-39-52,342,87,20.62
2025-03-06,17-39-53,342,87,20.62
2025-03-06,17-39-54,341,87,20.56
2025-03-06,17-39-55,341,87,20.56
2025-03-06,17-39-56,341,87,20.56
2025-03-06,17-39-57,341,87,20.56
2025-03-06,17-39-58,345,86,20.56
2025-03-06,17-39-59,345,86,20.56
2025-03-06,17-40-00,337,87,20.56
2025-03-06,17-40-01,337,87,20.56
2025-03-06,17-40-02,344,86,20.56
2025-03-06,17-40-03,344,86,20.56
2025-03-06,17-40-04,340,87,20.56
2025-03-06,17-40-05,340,87,20.56
2025-03-06,17-40-06,343,87,20.56
2025-03-06,17-40-07,343,87,20.56
2025-03-06,17-40-08,340,87,20.56
2025-03-06,17-40-09,340,87,20.56
2025-03-06,17-40-10,344,86,20.56
2025-03-06,17-40-11,344,86,20.56
2025-03-06,17-40-12,341,87,20.56
2025-03-06,17-40-13,341,87,20.56
2025-03-06,17-40-14,341,87,20.56
2025-03-06,17-40-15,341,87,20.56
2025-03-06,17-40-16,342,87,20.5
2025-03-06,17-40-17,342,87,20.5
2025-03-06,17-40-18,342,87,20.56
2025-03-06,17-40-19,342,87,20.56
2025-03-06,17-40-20,341,87,20.56
2025-03-06,17-40-21,341,87,20.56
2025-03-06,17-40-22,341,87,20.56
2025-03-06,17-40-23,341,87,20.56
2025-03-06,17-40-24,343,87,20.5
2025-03-06,17-40-25,343,87,20.5
2025-03-06,17-40-26,341,87,20.5
2025-03-06,17-40-27,341,87,20.5
2025-03-06,17-40-28,343,87,20.5
2025-03-06,17-40-29,343,87,20.5
2025-03-06,17-40-30,341,87,20.5
2025-03-06,17-40-31,341,87,20.5
2025-03-06,17-40-32,346,86,20.5
2025-03-06,17-40-33,346,86,20.5
2025-03-06,17-40-34,338,87,20.5
2025-03-06,17-40-35,338,87,20.5
2025-03-06,17-40-36,345,86,20.5
2025-03-06,17-40-37,345,86,20.5
2025-03-06,17-40-38,340,87,20.5
2025-03-06,17-40-39,340,87,20.5
2025-03-06,17-40-40,345,86,20.5
2025-03-06,17-40-41,345,86,20.5
2025-03-06,17-40-42,339,87,20.5
2025-03-06,17-40-43,339,87,20.5
2025-03-06,17-40-44,344,86,20.5
2025-03-06,17-40-45,344,86,20.5
2025-03-06,17-40-46,341,87,20.5
