CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio1,192.168.1.254,192.168.1.22,60,15,100,150,dirt,0.5,None, None
Date (Year-Mon-Day),Time (Hour-Min-Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,URSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-06,17-30-05,17,5.0,2.0,6.0,35.00,25-23:08:50,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 1,MCS 10,45.00,0-03:02:42,0-03:02:00,7.3,-91.0,-97.0,-90.0,-100.0,10.0,MCS 10,68232,MCS 1,20502,0
2025-03-06,17-30-15,17,5.0,2.0,6.0,35.00,25-23:09:02,70,-80.0,-107.0,-80.0,-107.0,27.0,MCS 1,MCS 2 shortGI,45.00,0-03:02:51,0-03:02:12,7.3,-91.0,-92.0,-88.0,-97.0,9.0,MCS 10,68346,MCS 1,20534,0
2025-03-06,17-30-26,17,5.0,2.0,6.0,35.00,25-23:09:14,70,-80.0,-104.0,-80.0,-107.0,27.0,MCS 1 shortGI,MCS 10,45.00,0-03:03:00,0-03:02:23,7.3,-93.0,-92.0,-90.0,-100.0,10.0,MCS 10,68428,MCS 1 short GI,20568,0
2025-03-06,17-30-36,17,5.0,2.0,6.0,35.00,25-23:09:22,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 2,MCS 10 shortGI,45.00,0-03:03:12,0-03:02:31,7.3,-92.0,-95.0,-91.0,-100.0,9.0,MCS 10,68501,MCS 1 short GI,20590,0
2025-03-06,17-30-46,17,5.0,2.0,6.0,35.00,25-23:09:34,70,-80.0,-105.0,-80.0,-107.0,27.0,MCS 1 shortGI,MCS 9 shortGI,45.00,0-03:03:21,0-03:02:43,7.3,-90.0,-94.0,-88.0,-99.0,11.0,MCS 9 short GI,68612,MCS 1 short GI,20622,0
2025-03-06,17-30-57,17,5.0,2.0,6.0,35.00,25-23:09:46,70,-80.0,-107.0,-80.0,-107.0,27.0,MCS 1 shortGI,MCS 9 shortGI,45.00,0-03:03:33,0-03:02:55,7.3,-92.0,-96.0,-90.0,-100.0,10.0,MCS 9,68691,MCS 1 short GI,20652,0
2025-03-06,17-31-07,17,5.0,2.0,6.0,35.00,25-23:09:53,70,-81.0,-105.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 9 shortGI,45.00,0-03:03:42,0-03:03:02,7.3,-91.0,-99.0,-91.0,-100.0,9.0,MCS 9 short GI,68750,MCS 1 short GI,20673,0
2025-03-06,17-31-18,17,5.0,2.0,6.0,35.00,25-23:10:04,69,-81.0,-104.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 4,45.00,0-03:03:54,0-03:03:14,7.3,-91.0,-96.0,-90.0,-100.0,10.0,MCS 9 short GI,68855,MCS 1 short GI,20699,0
2025-03-06,17-31-28,17,5.0,2.0,6.0,35.00,25-23:10:16,69,-81.0,-107.0,-81.0,-107.0,26.0,MCS 2 shortGI,MCS 10 shortGI,45.00,0-03:04:03,0-03:03:25,7.3,-91.0,-96.0,-90.0,-100.0,10.0,MCS 4,68932,MCS 1,20726,0
2025-03-06,17-31-38,17,5.0,2.0,6.0,35.00,25-23:10:27,70,-81.0,-105.0,-81.0,-107.0,26.0,MCS 2 shortGI,MCS 10 shortGI,45.00,0-03:04:15,0-03:03:36,7.3,-88.0,-91.0,-86.0,-99.0,13.0,MCS 10 short GI,69025,MCS 2 short GI,20755,0
2025-03-06,17-31-49,17,5.0,2.0,6.0,35.00,25-23:10:35,70,-81.0,-105.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 7 shortGI,45.00,0-03:04:24,0-03:03:44,7.3,-91.0,-98.0,-90.0,-99.0,9.0,MCS 10 short GI,69095,MCS 2 short GI,20777,0
2025-03-06,17-31-59,17,5.0,2.0,6.0,35.00,25-23:10:46,70,-81.0,-105.0,-81.0,-107.0,26.0,MCS 2 shortGI,MCS 7 shortGI,45.00,0-03:04:36,0-03:03:56,7.3,-90.0,-97.0,-89.0,-99.0,10.0,MCS 7 short GI,69175,MCS 2 short GI,20804,0
2025-03-06,17-32-09,17,5.0,2.0,6.0,35.00,25-23:10:54,69,-81.0,-105.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 10 shortGI,45.00,0-03:04:45,0-03:04:03,7.3,-92.0,-102.0,-91.0,-101.0,10.0,MCS 7 short GI,69236,MCS 2 short GI,20823,0
2025-03-06,17-32-20,17,5.0,2.0,6.0,35.00,25-23:11:06,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 2 shortGI,MCS 5 shortGI,45.00,0-03:04:54,0-03:04:15,7.3,-91.0,-97.0,-90.0,-101.0,11.0,MCS 9 short GI,69339,MCS 2 short GI,20850,0
2025-03-06,17-32-30,17,5.0,2.0,6.0,35.00,25-23:11:18,70,-81.0,-105.0,-81.0,-107.0,26.0,MCS 2 shortGI,MCS 6 shortGI,45.00,0-03:05:06,0-03:04:27,7.3,-90.0,-94.0,-88.0,-101.0,13.0,MCS 6 short GI,69425,MCS 2 short GI,20881,0
2025-03-06,17-32-41,17,5.0,2.0,6.0,35.00,25-23:11:26,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 2 shortGI,MCS 7 shortGI,45.00,0-03:05:15,0-03:04:35,7.3,-91.0,-99.0,-90.0,-102.0,12.0,MCS 7 short GI,69505,MCS 2 short GI,20909,0
2025-03-06,17-32-51,17,5.0,2.0,6.0,35.00,25-23:11:37,70,-80.0,-105.0,-80.0,-107.0,27.0,MCS 2 shortGI,MCS 10,45.00,0-03:05:28,0-03:04:47,7.3,-92.0,-95.0,-90.0,-100.0,10.0,MCS 6 short GI,69618,MCS 2 short GI,20946,0
2025-03-06,17-33-01,17,5.0,2.0,6.0,35.00,25-23:11:50,70,-80.0,-104.0,-80.0,-107.0,27.0,MCS 2 shortGI,MCS 10,45.00,0-03:05:36,0-03:04:59,7.3,-93.0,-101.0,-92.0,-102.0,10.0,MCS 10,69718,MCS 2 short GI,20988,0
2025-03-06,17-33-12,17,5.0,2.0,6.0,35.00,25-23:11:57,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 2 shortGI,MCS 7 shortGI,45.00,0-03:05:48,0-03:05:06,7.3,-91.0,-95.0,-90.0,-101.0,11.0,MCS 7 short GI,69783,MCS 1 short GI,21013,0
2025-03-06,17-33-22,17,5.0,2.0,6.0,35.00,25-23:12:08,70,-81.0,-105.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 10,45.00,0-03:05:58,0-03:05:18,7.3,-91.0,-95.0,-89.0,-101.0,12.0,MCS 7,69890,MCS 1 short GI,21053,0
2025-03-06,17-33-32,17,5.0,2.0,6.0,35.00,25-23:12:20,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 7,45.00,0-03:06:09,0-03:05:30,7.3,-91.0,-96.0,-90.0,-102.0,12.0,MCS 7,69993,MCS 2 short GI,21095,0
