Date,Depth,Set Number
2025-03-06,6,2
Date (Year-Mon-Day),Time (Hour-Min-Sec),Soil Moisture Value,Soil Moisture (%),Soil Temperature (°C)
2025-03-06,18-42-08,348,86,15.19
2025-03-06,18-42-09,348,86,15.19
2025-03-06,18-42-10,347,86,15.19
2025-03-06,18-42-11,347,86,15.19
2025-03-06,18-42-12,345,86,15.13
2025-03-06,18-42-13,345,86,15.13
2025-03-06,18-42-14,346,86,15.13
2025-03-06,18-42-15,346,86,15.13
2025-03-06,18-42-16,349,86,15.13
2025-03-06,18-42-17,349,86,15.13
2025-03-06,18-42-18,351,86,15.13
2025-03-06,18-42-19,351,86,15.13
2025-03-06,18-42-20,341,87,15.13
2025-03-06,18-42-21,341,87,15.13
2025-03-06,18-42-22,350,86,15.19
2025-03-06,18-42-23,350,86,15.19
2025-03-06,18-42-24,342,87,15.19
2025-03-06,18-42-25,342,87,15.19
2025-03-06,18-42-26,349,86,15.13
2025-03-06,18-42-27,349,86,15.13
2025-03-06,18-42-28,345,86,15.13
2025-03-06,18-42-29,345,86,15.13
2025-03-06,18-42-30,349,86,15.13
2025-03-06,18-42-31,349,86,15.13
2025-03-06,18-42-32,349,86,15.13
2025-03-06,18-42-33,349,86,15.13
2025-03-06,18-42-34,346,86,15.13
2025-03-06,18-42-35,346,86,15.13
2025-03-06,18-42-36,344,86,15.13
2025-03-06,18-42-37,344,86,15.13
2025-03-06,18-42-38,346,86,15.13
2025-03-06,18-42-39,346,86,15.13
2025-03-06,18-42-40,345,86,15.13
2025-03-06,18-42-41,345,86,15.13
2025-03-06,18-42-42,345,86,15.13
2025-03-06,18-42-43,345,86,15.13
2025-03-06,18-42-44,348,86,15.13
2025-03-06,18-42-45,348,86,15.13
2025-03-06,18-42-46,341,87,15.13
2025-03-06,18-42-47,341,87,15.13
2025-03-06,18-42-48,349,86,15.13
2025-03-06,18-42-49,349,86,15.13
2025-03-06,18-42-50,341,87,15.13
2025-03-06,18-42-51,341,87,15.13
2025-03-06,18-42-52,352,85,15.13
2025-03-06,18-42-53,352,85,15.13
2025-03-06,18-42-54,342,87,15.13
2025-03-06,18-42-55,342,87,15.13
2025-03-06,18-42-56,347,86,15.13
2025-03-06,18-42-57,347,86,15.13
2025-03-06,18-42-58,345,86,15.13
2025-03-06,18-42-59,345,86,15.13
2025-03-06,18-43-00,350,86,15.13
2025-03-06,18-43-01,350,86,15.13
2025-03-06,18-43-02,345,86,15.13
2025-03-06,18-43-03,345,86,15.13
2025-03-06,18-43-05,346,86,15.13
2025-03-06,18-43-06,346,86,15.13
2025-03-06,18-43-07,349,86,15.13
2025-03-06,18-43-08,349,86,15.13
2025-03-06,18-43-09,345,86,15.13
2025-03-06,18-43-10,345,86,15.13
2025-03-06,18-43-11,346,86,15.13
